provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalUnsound,argus-chumsky-11741262611005887494,0,0,true,0,6,6
AlphabeticalUnsound,argus-chumsky-10675481925819814948,0,0,true,0,6,6
AlphabeticalUnsound,argus-axum-1165570467535951434,0,0,true,0,12,12
AlphabeticalUnsound,argus-chumsky-8885235206614481399,0,0,true,0,6,6
AlphabeticalUnsound,argus-axum-4812161634194520255,0,0,true,1,12,12
AlphabeticalUnsound,argus-chumsky-11741262611005887494,0,1,true,0,6,6
AlphabeticalUnsound,argus-chumsky-10675481925819814948,0,1,true,0,6,6
AlphabeticalUnsound,argus-chumsky-8885235206614481399,0,1,true,0,6,6
AlphabeticalComplete,argus-chumsky-10675481925819814948,0,0,true,1,2,2
AlphabeticalUnsound,argus-axum-4812161634194520255,0,2,true,1,12,12
AlphabeticalUnsound,argus-chumsky-11741262611005887494,0,2,true,0,6,6
AlphabeticalUnsound,argus-axum-7239810653348316180,0,0,true,0,6,6
AlphabeticalUnsound,argus-chumsky-10675481925819814948,0,2,true,0,6,6
AlphabeticalUnsound,argus-chumsky-8885235206614481399,0,2,true,0,6,6
AlphabeticalUnsound,argus-axum-1165570467535951434,0,1,true,0,12,12
AlphabeticalUnsound,argus-axum-7239810653348316180,0,1,true,0,6,6
AlphabeticalComplete,argus-axum-18382130072991789967,0,0,true,1,4,4
AlphabeticalUnsound,argus-chumsky-1118387455367663784,0,0,true,2,6,6
AlphabeticalComplete,argus-chumsky-11741262611005887494,0,0,true,0,2,2
AlphabeticalUnsound,argus-axum-18382130072991789967,0,0,true,2,6,6
AlphabeticalUnsound,argus-axum-7239810653348316180,0,2,true,0,6,6
AlphabeticalUnsound,argus-chumsky-1118387455367663784,0,1,true,0,6,6
AlphabeticalUnsound,argus-axum-2593152621400048619,0,1,true,2,12,12
AlphabeticalComplete,argus-chumsky-8885235206614481399,0,0,true,1,2,2
AlphabeticalUnsound,argus-axum-4812161634194520255,0,1,true,3,12,12
AlphabeticalUnsound,argus-axum-396255765337843740,0,0,true,2,18,18
AlphabeticalUnsound,argus-axum-1165570467535951434,0,2,true,1,12,12
AlphabeticalComplete,argus-chumsky-11741262611005887494,0,1,true,0,2,2
AlphabeticalUnsound,argus-chumsky-1118387455367663784,0,2,true,0,6,6
AlphabeticalComplete,argus-chumsky-10675481925819814948,0,1,true,1,2,2
AlphabeticalUnsound,argus-axum-18382130072991789967,0,1,true,0,6,6
AlphabeticalUnsound,argus-axum-2593152621400048619,0,2,true,0,12,12
AlphabeticalUnsound,argus-diesel-11016622017794300009,0,0,true,3,18,18
AlphabeticalComplete,argus-axum-2593152621400048619,0,0,true,3,6,6
AlphabeticalUnsound,argus-axum-18382130072991789967,0,2,true,0,6,6
AlphabeticalComplete,argus-axum-18382130072991789967,0,1,true,1,4,4
AlphabeticalComplete,argus-chumsky-11741262611005887494,0,2,true,0,2,2
AlphabeticalComplete,argus-chumsky-8885235206614481399,0,1,true,1,2,2
AlphabeticalComplete,argus-chumsky-1118387455367663784,0,0,true,1,2,2
AlphabeticalUnsound,argus-axum-11184278655555968588,0,0,true,4,12,12
AlphabeticalUnsound,argus-axum-11184278655555968588,0,1,true,4,12,12
AlphabeticalComplete,argus-chumsky-10675481925819814948,0,2,true,1,2,2
AlphabeticalUnsound,argus-axum-11184278655555968588,0,2,true,4,12,12
AlphabeticalRelevant,argus-chumsky-11741262611005887494,0,0,true,0,2,2
AlphabeticalRelevant,argus-chumsky-10675481925819814948,0,0,true,1,2,2
AlphabeticalRelevant,argus-axum-4812161634194520255,0,0,true,4,2,2
AlphabeticalComplete,argus-axum-7239810653348316180,0,0,true,2,4,4
AlphabeticalUnsound,argus-diesel-11016622017794300009,0,1,true,1,18,18
AlphabeticalComplete,argus-chumsky-8885235206614481399,0,2,true,1,2,2
AlphabeticalComplete,argus-axum-4812161634194520255,0,0,true,5,5,5
AlphabeticalComplete,argus-chumsky-1118387455367663784,0,1,true,1,2,2
AlphabeticalComplete,argus-axum-18382130072991789967,0,2,true,1,4,4
AlphabeticalRelevant,argus-chumsky-11741262611005887494,0,1,true,0,2,2
AlphabeticalRelevant,argus-axum-18382130072991789967,0,0,true,2,4,4
AlphabeticalRelevant,argus-chumsky-10675481925819814948,0,1,true,1,2,2
AlphabeticalComplete,argus-chumsky-1118387455367663784,0,2,true,0,2,2
AlphabeticalUnsound,argus-diesel-11016622017794300009,0,2,true,1,18,18
AlphabeticalComplete,argus-axum-1165570467535951434,0,0,true,3,7,7
AlphabeticalRelevant,argus-chumsky-11741262611005887494,0,2,true,0,2,2
AlphabeticalRelevant,argus-chumsky-8885235206614481399,0,0,true,1,2,2
AlphabeticalUnsound,argus-chumsky-11809526917882439709,0,0,true,0,6,6
AlphabeticalComplete,argus-axum-2593152621400048619,0,1,true,3,6,6
AlphabeticalComplete,argus-axum-7239810653348316180,0,1,true,2,4,4
AlphabeticalRelevant,argus-chumsky-1118387455367663784,0,0,true,1,2,2
AlphabeticalUnsound,argus-chumsky-11809526917882439709,0,1,true,0,6,6
AlphabeticalUnsound,argus-chumsky-11809526917882439709,0,2,true,0,6,6
AlphabeticalRelevant,argus-chumsky-10675481925819814948,0,2,true,1,2,2
AlphabeticalRelevant,argus-axum-4812161634194520255,0,1,true,2,2,2
AlphabeticalUnsound,argus-axum-396255765337843740,0,1,true,4,18,18
AlphabeticalRelevant,argus-chumsky-8885235206614481399,0,1,true,1,2,2
AlphabeticalRelevant,argus-axum-18382130072991789967,0,1,true,2,4,4
AlphabeticalComplete,argus-chumsky-11809526917882439709,0,0,true,0,2,2
AlphabeticalRelevant,argus-chumsky-1118387455367663784,0,1,true,1,2,2
AlphabeticalComplete,argus-axum-4812161634194520255,0,1,true,3,5,5
AlphabeticalComplete,argus-axum-7239810653348316180,0,2,true,1,4,4
AlphabeticalUnsound,argus-axum-16221033744433962440,0,1,true,7,24,24
AlphabeticalUnsound,argus-axum-2593152621400048619,0,0,true,9,12,12
AlphabeticalUnsound,argus-axum-396255765337843740,0,2,true,1,18,18
AlphabeticalRelevant,argus-chumsky-8885235206614481399,0,2,true,1,2,2
AlphabeticalComplete,argus-chumsky-11809526917882439709,0,1,true,0,2,2
AlphabeticalComplete,argus-axum-1165570467535951434,0,1,true,3,7,7
AlphabeticalRelevant,argus-axum-18382130072991789967,0,2,true,1,4,4
AlphabeticalRelevant,argus-chumsky-1118387455367663784,0,2,true,1,2,2
AlphabeticalUnsound,argus-axum-16221033744433962440,0,0,true,10,24,24
AlphabeticalUnsound,argus-chumsky-7080345814600703276,0,0,true,9,54,54
AlphabeticalComplete,argus-chumsky-11809526917882439709,0,2,true,0,2,2
AlphabeticalRelevant,argus-axum-4812161634194520255,0,2,true,2,2,2
AlphabeticalUnsound,argus-axum-16221033744433962440,0,2,true,10,24,24
AlphabeticalUnsound,argus-chumsky-11676463297315425816,0,0,true,10,48,48
AlphabeticalComplete,argus-axum-2593152621400048619,0,2,true,3,6,6
AlphabeticalRelevant,argus-chumsky-11809526917882439709,0,0,true,0,2,2
AlphabeticalUnsound,argus-chumsky-7080345814600703276,0,1,true,6,54,54
AlphabeticalComplete,argus-diesel-11016622017794300009,0,0,true,4,10,10
AlphabeticalRelevant,argus-chumsky-11809526917882439709,0,1,true,0,2,2
AlphabeticalComplete,argus-axum-4812161634194520255,0,2,true,3,5,5
AlphabeticalComplete,argus-axum-1165570467535951434,0,2,true,2,7,7
AlphabeticalRelevant,argus-chumsky-11809526917882439709,0,2,true,0,2,2
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,0,true,0,6,6
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,1,true,0,6,6
AlphabeticalRelevant,argus-axum-2593152621400048619,0,0,true,3,6,6
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,2,true,0,6,6
AlphabeticalRelevant,argus-axum-11184278655555968588,0,0,true,13,10,10
AlphabeticalRelevant,argus-axum-7239810653348316180,0,0,true,1,4,4
AlphabeticalComplete,argus-axum-11184278655555968588,0,0,true,14,10,10
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,0,true,0,2,2
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,1,true,0,2,2
AlphabeticalComplete,argus-diesel-11016622017794300009,0,1,true,3,10,10
AlphabeticalRelevant,argus-axum-1165570467535951434,0,0,true,2,7,7
AlphabeticalUnsound,argus-chumsky-7080345814600703276,0,2,true,4,54,54
AlphabeticalRelevant,argus-axum-2593152621400048619,0,1,true,2,6,6
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,2,true,0,2,2
AlphabeticalRelevant,argus-chumsky-5169866575554592034,0,0,true,0,2,2
AlphabeticalUnsound,argus-chumsky-11676463297315425816,0,1,true,7,48,48
AlphabeticalUnsound,argus-axum-17497105317668159604,0,0,true,17,48,48
AlphabeticalComplete,argus-axum-396255765337843740,0,0,true,8,12,12
AlphabeticalRelevant,argus-axum-1165570467535951434,0,1,true,2,7,7
AlphabeticalRelevant,argus-chumsky-5169866575554592034,0,1,true,0,2,2
AlphabeticalComplete,argus-axum-11184278655555968588,0,1,true,7,10,10
AlphabeticalRelevant,argus-axum-11184278655555968588,0,1,true,8,10,10
AlphabeticalRelevant,argus-axum-2593152621400048619,0,2,true,2,6,6
AlphabeticalRelevant,argus-axum-7239810653348316180,0,1,true,4,4,4
AlphabeticalRelevant,argus-chumsky-5169866575554592034,0,2,true,0,2,2
AlphabeticalComplete,argus-diesel-11016622017794300009,0,2,true,4,10,10
AlphabeticalUnsound,argus-axum-2355552700190003252,0,1,true,20,108,108
AlphabeticalUnsound,argus-media-9498257760582091532,0,0,true,0,6,6
AlphabeticalUnsound,argus-media-9498257760582091532,0,1,true,0,6,6
AlphabeticalRelevant,argus-axum-1165570467535951434,0,2,true,2,7,7
AlphabeticalUnsound,argus-media-9498257760582091532,0,2,true,0,6,6
AlphabeticalComplete,argus-media-9498257760582091532,0,0,true,0,2,2
AlphabeticalComplete,argus-media-9498257760582091532,0,1,true,0,2,2
AlphabeticalComplete,argus-media-9498257760582091532,0,2,true,0,2,2
AlphabeticalRelevant,argus-diesel-11016622017794300009,0,0,true,3,7,7
AlphabeticalRelevant,argus-media-9498257760582091532,0,0,true,0,2,2
AlphabeticalRelevant,argus-media-9498257760582091532,0,1,true,0,2,2
AlphabeticalRelevant,argus-axum-7239810653348316180,0,2,true,4,4,4
AlphabeticalRelevant,argus-media-9498257760582091532,0,2,true,0,2,2
AlphabeticalUnsound,argus-axum-7449751244533988244,0,0,true,0,6,6
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,0,true,0,6,6
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,1,true,0,6,6
AlphabeticalUnsound,argus-axum-7449751244533988244,0,1,true,0,6,6
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,2,true,0,6,6
AlphabeticalUnsound,argus-axum-7449751244533988244,0,2,true,0,6,6
AlphabeticalComplete,argus-to-string-7456765733392558773,0,0,true,0,2,2
AlphabeticalUnsound,argus-axum-18226239923860325739,0,1,true,25,84,84
AlphabeticalUnsound,argus-axum-15641753760587755699,0,0,true,25,78,78
AlphabeticalComplete,argus-axum-11184278655555968588,0,2,true,7,10,10
AlphabeticalComplete,argus-to-string-7456765733392558773,0,1,true,0,2,2
AlphabeticalRelevant,argus-diesel-11016622017794300009,0,1,true,3,7,7
