provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,0,true,0,6,6
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,1,true,0,6,6
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,1,true,1,2,2
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,2,true,1,2,2
AlphabeticalUnsound,argus-uom-12620612547616295812,0,0,true,1,12,12
AlphabeticalRelevant,argus-chumsky-5169866575554592034,0,0,true,1,2,2
AlphabeticalUnsound,argus-diesel-3430255526965457125,0,0,true,1,18,18
AlphabeticalUnsound,argus-axum-9565163656844553579,0,0,true,1,0,0
AlphabeticalUnsound,manual-4,0,0,true,2,12,12
AlphabeticalUnsound,argus-uom-12620612547616295812,0,1,true,1,12,12
AlphabeticalUnsound,argus-uom-4056355276583185919,0,0,true,2,24,24
AlphabeticalRelevant,argus-chumsky-5169866575554592034,0,1,true,1,2,2
AlphabeticalUnsound,argus-diesel-3430255526965457125,0,1,true,1,18,18
AlphabeticalUnsound,random-10-2,0,0,true,2,18,18
AlphabeticalUnsound,argus-nalgebra-1072764188367393468,0,0,true,3,0,0
AlphabeticalUnsound,argus-uom-12620612547616295812,0,2,true,0,12,12
AlphabeticalUnsound,argus-axum-9565163656844553579,0,1,true,1,0,0
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,2,true,0,6,6
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,0,true,1,2,2
AlphabeticalRelevant,argus-chumsky-5169866575554592034,0,2,true,1,2,2
AlphabeticalUnsound,manual-4,0,1,true,1,12,12
AlphabeticalUnsound,argus-nalgebra-1072764188367393468,0,1,true,0,0,0
AlphabeticalUnsound,argus-diesel-3430255526965457125,0,2,true,1,18,18
AlphabeticalUnsound,argus-nalgebra-1072764188367393468,0,2,true,0,0,0
AlphabeticalUnsound,argus-axum-9565163656844553579,0,2,true,1,0,0
AlphabeticalUnsound,argus-uom-4056355276583185919,0,1,true,2,24,24
AlphabeticalUnsound,random-10-2,0,1,true,2,18,18
AlphabeticalComplete,argus-nalgebra-1072764188367393468,0,0,true,0,0,0
AlphabeticalUnsound,manual-4,0,2,true,1,12,12
AlphabeticalUnsound,argus-diesel-11016622017794300009,0,0,true,6,48,48
AlphabeticalComplete,argus-nalgebra-1072764188367393468,0,1,true,0,0,0
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,0,true,6,48,48
AlphabeticalComplete,argus-axum-9565163656844553579,0,0,true,1,0,0
AlphabeticalUnsound,argus-uom-4056355276583185919,0,2,true,2,24,24
AlphabeticalComplete,argus-nalgebra-1072764188367393468,0,2,true,0,0,0
AlphabeticalComplete,argus-uom-12620612547616295812,0,0,true,4,7,7
AlphabeticalRelevant,argus-nalgebra-1072764188367393468,0,0,true,0,0,0
AlphabeticalUnsound,random-10-2,0,2,true,2,18,18
AlphabeticalComplete,argus-axum-9565163656844553579,0,1,true,1,0,0
AlphabeticalRelevant,argus-nalgebra-1072764188367393468,0,1,true,0,0,0
AlphabeticalUnsound,argus-axum-7449751244533988244,0,0,true,9,12,12
AlphabeticalRelevant,argus-nalgebra-1072764188367393468,0,2,true,0,0,0
AlphabeticalUnsound,argus-axum-4812161634194520255,0,0,true,9,30,30
AlphabeticalComplete,argus-axum-9565163656844553579,0,2,true,1,0,0
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,0,true,0,12,12
AlphabeticalComplete,argus-diesel-3430255526965457125,0,0,true,6,11,11
AlphabeticalUnsound,argus-diesel-12280181414965390748,0,0,true,10,90,90
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,1,true,0,12,12
AlphabeticalRelevant,argus-axum-9565163656844553579,0,0,true,1,0,0
AlphabeticalComplete,argus-uom-12620612547616295812,0,1,true,3,7,7
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,2,true,0,12,12
AlphabeticalUnsound,argus-diesel-11016622017794300009,0,1,true,5,48,48
AlphabeticalRelevant,argus-axum-9565163656844553579,0,1,true,1,0,0
