provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalUnsound,argus-axum-1165570467535951434,0,0,true,0,6,6
AlphabeticalUnsound,argus-diesel-3430255526965457125,0,0,true,1,18,18
AlphabeticalUnsound,argus-nalgebra-1072764188367393468,0,0,true,0,0,0
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,0,true,1,2,2
AlphabeticalUnsound,argus-axum-9565163656844553579,0,0,true,1,0,0
AlphabeticalComplete,argus-nalgebra-1072764188367393468,0,0,true,0,0,0
AlphabeticalComplete,argus-axum-1165570467535951434,0,0,true,1,5,5
AlphabeticalRelevant,argus-chumsky-5169866575554592034,0,0,true,1,2,2
AlphabeticalUnsound,manual-4,0,0,true,2,6,6
AlphabeticalRelevant,argus-nalgebra-1072764188367393468,0,0,true,0,0,0
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,0,true,0,6,6
AlphabeticalComplete,argus-axum-9565163656844553579,0,0,true,1,0,0
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,0,true,0,12,12
AlphabeticalRelevant,argus-axum-1165570467535951434,0,0,true,1,5,5
AlphabeticalComplete,argus-diesel-3430255526965457125,0,0,true,3,11,11
AlphabeticalRelevant,argus-axum-9565163656844553579,0,0,true,1,0,0
AlphabeticalUnsound,argus-axum-18382130072991789967,0,0,true,6,42,42
AlphabeticalComplete,argus-to-string-7456765733392558773,0,0,true,2,7,7
AlphabeticalUnsound,argus-axum-4812161634194520255,0,0,true,8,30,30
AlphabeticalUnsound,argus-axum-11184278655555968588,0,0,true,8,12,12
AlphabeticalUnsound,argus-axum-7449751244533988244,0,0,true,8,12,12
AlphabeticalRelevant,argus-to-string-7456765733392558773,0,0,true,2,7,7
AlphabeticalUnsound,argus-uom-12620612547616295812,0,0,true,0,12,12
AlphabeticalRelevant,argus-diesel-3430255526965457125,0,0,true,5,11,11
AlphabeticalComplete,manual-4,0,0,true,9,4,4
AlphabeticalComplete,argus-uom-12620612547616295812,0,0,true,2,7,7
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,0,true,13,48,48
AlphabeticalUnsound,random-30-5,0,0,true,14,36,36
AlphabeticalRelevant,argus-uom-12620612547616295812,0,0,true,3,7,7
AlphabeticalUnsound,argus-uom-15692225898143735533,0,0,true,0,6,6
AlphabeticalComplete,argus-uom-15692225898143735533,0,0,true,1,2,2
AlphabeticalUnsound,argus-bevy-11770160436335055444,0,0,true,12,60,60
AlphabeticalRelevant,argus-uom-15692225898143735533,0,0,true,1,2,2
AlphabeticalRelevant,manual-4,0,0,true,7,4,4
AlphabeticalUnsound,argus-uom-4056355276583185919,0,0,true,1,24,24
AlphabeticalUnsound,argus-diesel-2829387904342691312,0,0,true,22,102,102
AlphabeticalUnsound,random-40-4,0,0,true,14,42,42
AlphabeticalComplete,argus-uom-4056355276583185919,0,0,true,9,20,20
AlphabeticalUnsound,random-20-4,0,0,true,32,96,96
AlphabeticalUnsound,random-30-9,0,0,true,32,174,174
AlphabeticalUnsound,random-30-4,0,0,true,38,174,174
AlphabeticalRelevant,argus-uom-4056355276583185919,0,0,true,10,20,20
AlphabeticalUnsound,argus-uom-61668792546008267,0,0,true,0,12,12
AlphabeticalUnsound,random-30-2,0,0,true,43,168,168
AlphabeticalUnsound,random-30-3,0,0,true,44,174,174
AlphabeticalComplete,argus-uom-61668792546008267,0,0,true,3,7,7
AlphabeticalComplete,argus-diesel-8325909996476259911,0,0,true,32,35,35
AlphabeticalComplete,argus-axum-11184278655555968588,0,0,true,48,10,10
AlphabeticalRelevant,argus-uom-61668792546008267,0,0,true,3,7,7
