provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
Remaining,argus-axum-9565163656844553579,0,3,true,1,0,0
Remaining,argus-nalgebra-1072764188367393468,0,0,true,1,0,0
AlphabeticalUnsound,argus-axum-9565163656844553579,0,0,true,1,0,0
Remaining,argus-axum-9565163656844553579,0,1,true,1,0,0
Remaining,argus-chumsky-5169866575554592034,0,0,true,1,4,4
Remaining,argus-axum-9565163656844553579,0,4,true,1,0,0
AlphabeticalUnsound,argus-axum-9565163656844553579,0,1,true,1,0,0
Remaining,argus-chumsky-5169866575554592034,0,1,true,0,4,4
Remaining,argus-axum-9565163656844553579,0,2,true,4,0,0
Remaining,argus-axum-9565163656844553579,0,0,true,4,0,0
Remaining,argus-nalgebra-1072764188367393468,0,1,true,3,0,0
AlphabeticalUnsound,argus-axum-9565163656844553579,0,2,true,2,0,0
Remaining,argus-nalgebra-1072764188367393468,0,2,true,0,0,0
Remaining,argus-nalgebra-1072764188367393468,0,3,true,0,0,0
Remaining,argus-chumsky-5169866575554592034,0,2,true,3,4,4
AlphabeticalUnsound,argus-axum-9565163656844553579,0,3,true,1,0,0
Remaining,argus-nalgebra-1072764188367393468,0,4,true,0,0,0
Remaining,argus-chumsky-5169866575554592034,0,3,true,1,4,4
AlphabeticalUnsound,argus-axum-9565163656844553579,0,4,true,1,0,0
Remaining,argus-chumsky-5169866575554592034,0,4,true,1,4,4
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,0,true,0,6,6
AlphabeticalComplete,argus-axum-9565163656844553579,0,0,true,1,0,0
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,1,true,0,6,6
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,2,true,0,6,6
AlphabeticalUnsound,argus-nalgebra-1072764188367393468,0,0,true,3,0,0
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,3,true,0,6,6
AlphabeticalUnsound,argus-chumsky-5169866575554592034,0,4,true,0,6,6
AlphabeticalUnsound,argus-nalgebra-1072764188367393468,0,1,true,0,0,0
AlphabeticalComplete,argus-axum-9565163656844553579,0,1,true,1,0,0
AlphabeticalUnsound,argus-axum-18382130072991789967,0,0,true,11,42,42
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,0,true,0,2,2
AlphabeticalUnsound,argus-nalgebra-1072764188367393468,0,2,true,0,0,0
AlphabeticalComplete,argus-axum-9565163656844553579,0,2,true,1,0,0
AlphabeticalUnsound,argus-nalgebra-1072764188367393468,0,3,true,0,0,0
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,1,true,0,2,2
AlphabeticalUnsound,argus-nalgebra-1072764188367393468,0,4,true,0,0,0
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,2,true,0,2,2
AlphabeticalComplete,argus-axum-9565163656844553579,0,3,true,1,0,0
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,3,true,0,2,2
AlphabeticalComplete,argus-axum-9565163656844553579,0,4,true,1,0,0
AlphabeticalComplete,argus-chumsky-5169866575554592034,0,4,true,0,2,2
AlphabeticalComplete,argus-nalgebra-1072764188367393468,0,0,true,3,0,0
AlphabeticalComplete,argus-nalgebra-1072764188367393468,0,1,true,0,0,0
AlphabeticalComplete,argus-nalgebra-1072764188367393468,0,2,true,0,0,0
AlphabeticalComplete,argus-nalgebra-1072764188367393468,0,3,true,0,0,0
AlphabeticalUnsound,argus-axum-18382130072991789967,0,1,true,7,42,42
AlphabeticalComplete,argus-nalgebra-1072764188367393468,0,4,true,0,0,0
AlphabeticalUnsound,argus-axum-18382130072991789967,0,2,true,7,42,42
Remaining,argus-to-string-7456765733392558773,0,0,true,10,15,11
AlphabeticalUnsound,argus-axum-18382130072991789967,0,3,true,7,42,42
AlphabeticalUnsound,argus-axum-16221033744433962440,0,1,true,35,108,108
Remaining,argus-to-string-7456765733392558773,0,1,true,7,15,11
Remaining,argus-chumsky-1118387455367663784,0,0,true,37,80,32
AlphabeticalUnsound,argus-axum-18382130072991789967,0,4,true,7,42,42
Remaining,argus-to-string-7456765733392558773,0,2,true,10,15,11
Remaining,argus-to-string-7456765733392558773,0,3,true,7,15,11
AlphabeticalUnsound,argus-axum-16221033744433962440,0,0,true,57,108,108
AlphabeticalUnsound,argus-axum-16221033744433962440,0,2,true,61,108,108
AlphabeticalUnsound,argus-axum-6361058880873831381,0,0,true,64,132,132
Remaining,argus-to-string-7456765733392558773,0,4,true,10,15,11
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,0,true,0,12,12
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,1,true,0,12,12
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,2,true,0,12,12
AlphabeticalUnsound,argus-axum-10310841651143324696,0,0,true,66,126,126
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,3,true,3,12,12
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,4,true,0,12,12
Remaining,manual-4,0,0,true,71,63,63
AlphabeticalComplete,argus-to-string-7456765733392558773,0,0,true,2,7,7
Remaining,argus-diesel-8325909996476259911,0,0,true,75,99,53
AlphabeticalComplete,argus-to-string-7456765733392558773,0,1,true,2,7,7
Remaining,argus-chumsky-1118387455367663784,0,1,true,37,80,32
AlphabeticalComplete,argus-to-string-7456765733392558773,0,2,true,2,7,7
AlphabeticalComplete,argus-to-string-7456765733392558773,0,3,true,2,7,7
AlphabeticalComplete,argus-to-string-7456765733392558773,0,4,true,2,7,7
AlphabeticalUnsound,argus-axum-18226239923860325739,0,0,true,84,156,156
Remaining,argus-uom-12620612547616295812,0,0,true,5,18,18
AlphabeticalComplete,argus-axum-18382130072991789967,0,0,true,48,34,34
Remaining,argus-uom-12620612547616295812,0,1,true,5,18,18
Remaining,argus-uom-12620612547616295812,0,2,true,5,18,18
AlphabeticalUnsound,argus-axum-18352723104139980097,0,0,true,101,198,198
Remaining,argus-uom-12620612547616295812,0,3,true,5,18,18
AlphabeticalUnsound,argus-axum-6256519327200940257,0,0,true,105,198,198
Remaining,argus-uom-12620612547616295812,0,4,true,5,18,18
AlphabeticalUnsound,argus-uom-12620612547616295812,0,0,true,0,12,12
AlphabeticalUnsound,argus-uom-12620612547616295812,0,1,true,0,12,12
AlphabeticalUnsound,argus-uom-12620612547616295812,0,2,true,0,12,12
AlphabeticalUnsound,argus-uom-12620612547616295812,0,3,true,0,12,12
AlphabeticalUnsound,argus-uom-12620612547616295812,0,4,true,0,12,12
Remaining,argus-chumsky-1118387455367663784,0,2,true,37,80,32
AlphabeticalComplete,argus-uom-12620612547616295812,0,0,true,3,7,7
AlphabeticalUnsound,argus-axum-16221033744433962440,0,3,true,58,108,108
AlphabeticalComplete,argus-uom-12620612547616295812,0,1,true,3,7,7
AlphabeticalComplete,argus-uom-12620612547616295812,0,2,true,3,7,7
AlphabeticalComplete,argus-uom-12620612547616295812,0,3,true,3,7,7
AlphabeticalUnsound,argus-axum-6361058880873831381,0,1,true,63,132,132
AlphabeticalComplete,argus-uom-12620612547616295812,0,4,true,3,7,7
AlphabeticalUnsound,argus-axum-10310841651143324696,0,1,true,66,126,126
Remaining,argus-uom-15692225898143735533,0,0,true,4,15,11
AlphabeticalComplete,argus-axum-18382130072991789967,0,1,true,48,34,34
Remaining,argus-uom-15692225898143735533,0,1,true,4,15,11
Remaining,manual-4,0,1,true,66,63,63
AlphabeticalUnsound,argus-axum-17497105317668159604,0,0,true,82,162,162
Remaining,argus-uom-15692225898143735533,0,2,true,4,15,11
Remaining,argus-uom-15692225898143735533,0,3,true,4,15,11
Remaining,argus-diesel-8325909996476259911,0,1,true,74,99,53
Remaining,argus-uom-15692225898143735533,0,4,true,4,15,11
AlphabeticalUnsound,argus-uom-15692225898143735533,0,0,true,0,6,6
AlphabeticalUnsound,argus-uom-15692225898143735533,0,1,true,0,6,6
AlphabeticalUnsound,argus-uom-15692225898143735533,0,2,true,0,6,6
AlphabeticalUnsound,argus-uom-15692225898143735533,0,3,true,0,6,6
Remaining,argus-chumsky-1118387455367663784,0,3,true,37,80,32
AlphabeticalUnsound,argus-uom-15692225898143735533,0,4,true,0,6,6
AlphabeticalComplete,argus-uom-15692225898143735533,0,0,true,1,2,2
AlphabeticalComplete,argus-uom-15692225898143735533,0,1,true,1,2,2
AlphabeticalComplete,argus-uom-15692225898143735533,0,2,true,1,2,2
AlphabeticalComplete,argus-uom-15692225898143735533,0,3,true,1,2,2
AlphabeticalComplete,argus-uom-15692225898143735533,0,4,true,1,2,2
AlphabeticalUnsound,argus-axum-18226239923860325739,0,1,true,79,156,156
AlphabeticalUnsound,argus-axum-16221033744433962440,0,4,true,56,108,108
Remaining,argus-uom-4056355276583185919,0,0,true,25,62,35
AlphabeticalComplete,argus-axum-18382130072991789967,0,2,true,48,34,34
Remaining,argus-chumsky-1118387455367663784,0,4,true,38,80,32
AlphabeticalUnsound,argus-axum-6361058880873831381,0,2,true,63,132,132
AlphabeticalUnsound,argus-chumsky-1118387455367663784,0,0,true,1,12,12
AlphabeticalUnsound,argus-chumsky-1118387455367663784,0,1,true,1,12,12
AlphabeticalUnsound,argus-chumsky-1118387455367663784,0,2,true,1,12,12
AlphabeticalUnsound,argus-chumsky-1118387455367663784,0,3,true,1,12,12
AlphabeticalUnsound,argus-chumsky-1118387455367663784,0,4,true,1,12,12
AlphabeticalUnsound,argus-axum-10310841651143324696,0,2,true,65,126,126
AlphabeticalComplete,argus-chumsky-1118387455367663784,0,0,true,4,7,7
Remaining,manual-4,0,2,true,66,63,63
AlphabeticalComplete,argus-chumsky-1118387455367663784,0,1,true,4,7,7
AlphabeticalUnsound,argus-axum-18352723104139980097,0,1,true,105,198,198
AlphabeticalUnsound,argus-axum-6256519327200940257,0,1,true,100,198,198
Remaining,argus-uom-4056355276583185919,0,1,true,24,62,35
AlphabeticalComplete,argus-chumsky-1118387455367663784,0,2,true,4,7,7
AlphabeticalComplete,argus-chumsky-1118387455367663784,0,3,true,4,7,7
AlphabeticalComplete,argus-chumsky-1118387455367663784,0,4,true,4,7,7
Remaining,argus-diesel-8325909996476259911,0,2,true,74,99,53
AlphabeticalUnsound,argus-axum-17497105317668159604,0,1,true,85,162,162
Remaining,argus-uom-4056355276583185919,0,2,true,25,62,35
AlphabeticalComplete,argus-axum-18382130072991789967,0,3,true,48,34,34
AlphabeticalUnsound,argus-axum-18226239923860325739,0,2,true,80,156,156
AlphabeticalUnsound,argus-axum-6361058880873831381,0,3,true,63,132,132
Remaining,argus-uom-4056355276583185919,0,3,true,25,62,35
AlphabeticalUnsound,argus-axum-10310841651143324696,0,3,true,65,126,126
Remaining,manual-4,0,3,true,66,63,63
AlphabeticalComplete,argus-axum-18382130072991789967,0,4,true,48,34,34
Remaining,argus-uom-4056355276583185919,0,4,true,25,62,35
AlphabeticalUnsound,argus-uom-4056355276583185919,0,0,true,1,24,24
AlphabeticalUnsound,argus-uom-4056355276583185919,0,1,true,1,24,24
AlphabeticalUnsound,argus-uom-4056355276583185919,0,2,true,1,24,24
AlphabeticalUnsound,argus-uom-4056355276583185919,0,3,true,1,24,24
AlphabeticalUnsound,argus-uom-4056355276583185919,0,4,true,1,24,24
Remaining,argus-diesel-8325909996476259911,0,3,true,74,99,53
Remaining,argus-bevy-11770160436335055444,0,0,true,298,219,119
AlphabeticalComplete,argus-uom-4056355276583185919,0,0,true,9,20,20
AlphabeticalUnsound,argus-axum-17497105317668159604,0,2,true,79,162,162
AlphabeticalUnsound,argus-axum-18352723104139980097,0,2,true,99,198,198
AlphabeticalUnsound,argus-axum-6256519327200940257,0,2,true,103,198,198
AlphabeticalComplete,argus-uom-4056355276583185919,0,1,true,9,20,20
AlphabeticalUnsound,argus-axum-6361058880873831381,0,4,true,63,132,132
AlphabeticalComplete,argus-uom-4056355276583185919,0,2,true,9,20,20
AlphabeticalUnsound,argus-axum-18226239923860325739,0,3,true,79,156,156
AlphabeticalComplete,argus-uom-4056355276583185919,0,3,true,9,20,20
AlphabeticalUnsound,argus-axum-10310841651143324696,0,4,true,66,126,126
Remaining,manual-4,0,4,true,66,63,63
AlphabeticalUnsound,manual-4,0,0,true,1,6,6
AlphabeticalUnsound,manual-4,0,1,true,1,6,6
AlphabeticalComplete,argus-uom-4056355276583185919,0,4,true,9,20,20
AlphabeticalUnsound,manual-4,0,2,true,1,6,6
AlphabeticalUnsound,manual-4,0,3,true,1,6,6
AlphabeticalUnsound,manual-4,0,4,true,1,6,6
Remaining,argus-uom-61668792546008267,0,0,true,10,33,18
AlphabeticalComplete,manual-4,0,0,true,7,4,4
AlphabeticalComplete,manual-4,0,1,true,7,4,4
Remaining,argus-uom-61668792546008267,0,1,true,10,33,18
AlphabeticalComplete,manual-4,0,2,true,7,4,4
Remaining,argus-diesel-8325909996476259911,0,4,true,74,99,53
Remaining,argus-uom-61668792546008267,0,2,true,10,33,18
AlphabeticalComplete,manual-4,0,3,true,7,4,4
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,0,true,6,48,48
AlphabeticalComplete,manual-4,0,4,true,7,4,4
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,1,true,5,48,48
AlphabeticalComplete,argus-axum-16221033744433962440,0,0,true,386,70,70
Remaining,argus-uom-61668792546008267,0,3,true,10,33,18
AlphabeticalUnsound,argus-axum-17497105317668159604,0,3,true,84,162,162
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,2,true,5,48,48
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,3,true,5,48,48
Remaining,argus-uom-61668792546008267,0,4,true,10,33,18
AlphabeticalUnsound,argus-uom-61668792546008267,0,0,true,0,12,12
AlphabeticalUnsound,argus-uom-61668792546008267,0,1,true,0,12,12
AlphabeticalUnsound,argus-uom-61668792546008267,0,2,true,0,12,12
AlphabeticalUnsound,argus-uom-61668792546008267,0,3,true,0,12,12
AlphabeticalUnsound,argus-uom-61668792546008267,0,4,true,0,12,12
AlphabeticalUnsound,argus-diesel-8325909996476259911,0,4,true,5,48,48
AlphabeticalComplete,argus-uom-61668792546008267,0,0,true,3,7,7
AlphabeticalUnsound,argus-axum-18226239923860325739,0,4,true,79,156,156
AlphabeticalComplete,argus-uom-61668792546008267,0,1,true,3,7,7
AlphabeticalComplete,argus-uom-61668792546008267,0,2,true,3,7,7
AlphabeticalUnsound,argus-axum-18352723104139980097,0,3,true,104,198,198
AlphabeticalComplete,argus-uom-61668792546008267,0,3,true,3,7,7
AlphabeticalComplete,argus-uom-61668792546008267,0,4,true,3,7,7
AlphabeticalUnsound,argus-axum-6256519327200940257,0,3,true,104,198,198
Remaining,argus-uom-8698853219055427700,0,0,true,9,27,27
Remaining,argus-uom-8698853219055427700,0,1,true,9,27,27
AlphabeticalComplete,argus-diesel-8325909996476259911,0,0,true,32,35,35
