provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
Random,shared,0,0,true,6,8,8
Random,shared,0,1,true,4,6,6
Remaining,shared,0,0,true,11,24,16
Remaining,shared,0,2,true,11,24,16
Remaining,shared,1,0,true,15,28,16
Random,shared,0,2,true,4,6,6
Random,shared,0,3,true,3,6,6
Remaining,shared,0,3,true,11,24,16
Remaining,shared,1,2,true,14,28,16
Remaining,shared,0,1,true,13,24,16
Random,shared,0,4,true,5,8,8
Remaining,linear,0,0,true,25,45,45
Remaining,shared,1,1,true,13,28,16
Random,shared,1,0,true,6,8,8
Remaining,shared,0,4,true,13,24,16
Random,shared,1,1,true,5,8,8
Remaining,shared,1,3,true,13,28,16
Random,shared,1,2,true,3,6,6
Remaining,shared,1,4,true,16,28,16
Random,linear,0,0,true,10,14,14
Random,shared,1,3,true,6,8,8
Random,shared,1,4,true,4,6,6
Remaining,linear,0,1,true,26,45,45
Random,linear,0,1,true,16,20,20
Remaining,linear,0,2,true,21,45,45
Random,linear,0,2,true,12,20,20
Random,linear,0,3,true,4,10,10
Random,linear,0,4,true,10,13,13
Random,linear,1,0,true,3,4,4
Remaining,linear,0,3,true,21,45,45
Random,linear,1,1,true,13,16,16
Random,linear,1,2,true,6,10,10
Remaining,linear,0,4,true,22,45,45
Random,linear,1,3,true,8,13,13
Random,linear,1,4,true,12,17,17
Remaining,linear,1,0,true,19,45,45
Remaining,linear,1,1,true,19,45,45
Remaining,linear,1,2,true,18,45,45
Remaining,linear,1,3,true,19,45,45
Remaining,linear,1,4,true,20,45,45
Random,overview,0,0,true,191,81,81
Random,overview,0,1,true,160,68,68
Random,overview,0,2,true,181,51,51
Random,overview,0,3,true,107,37,37
MaxInfoGain,shared,1,2,true,783,9,9
MaxInfoGain,shared,1,0,true,887,9,9
MaxInfoGain,shared,0,3,true,715,8,8
MaxInfoGain,shared,0,2,true,887,8,8
MaxInfoGain,shared,0,0,true,918,8,8
Random,overview,0,4,true,307,80,80
Random,overview,1,0,true,245,79,79
Random,overview,1,1,true,290,90,90
MaxInfoGain,shared,0,1,true,629,8,8
MaxInfoGain,shared,1,1,true,634,9,9
MaxInfoGain,shared,1,3,true,645,9,9
MaxInfoGain,shared,0,4,true,633,8,8
Random,overview,1,2,true,229,69,69
Random,overview,1,3,true,263,83,83
MaxInfoGain,shared,1,4,true,731,9,9
Random,overview,1,4,true,411,86,86
MaxInfoGain,linear,0,0,true,2747,20,20
MaxInfoGain,linear,1,0,true,2635,20,20
MaxInfoGain,linear,0,2,true,2626,20,20
MaxInfoGain,linear,1,2,true,2649,20,20
Remaining,overview,0,0,true,4358,1528,161
MaxInfoGain,linear,0,3,true,2587,20,20
MaxInfoGain,linear,0,1,true,2616,20,20
MaxInfoGain,linear,1,1,true,2645,20,20
Remaining,overview,1,0,true,5096,1668,161
MaxInfoGain,linear,1,3,true,2760,20,20
MaxInfoGain,linear,0,4,true,2760,20,20
Remaining,overview,0,2,true,4632,1528,161
Remaining,overview,0,1,true,4605,1528,161
MaxInfoGain,linear,1,4,true,2805,20,20
Remaining,overview,0,3,true,4651,1528,161
Remaining,overview,1,1,true,5201,1668,161
Remaining,overview,1,2,true,5278,1668,161
Remaining,overview,1,3,true,5235,1668,161
Remaining,overview,0,4,true,5419,1528,161
Remaining,overview,1,4,true,6344,1668,161
MaxInfoGain,overview,0,0,true,72223,94,94
MaxInfoGain,overview,1,0,true,71927,86,86
MaxInfoGain,overview,1,2,true,71907,86,86
MaxInfoGain,overview,1,3,true,71516,86,86
MaxInfoGain,overview,1,1,true,71378,86,86
MaxInfoGain,overview,0,2,true,71466,94,94
MaxInfoGain,overview,0,1,true,71054,94,94
MaxInfoGain,overview,1,4,true,69959,86,86
MaxInfoGain,overview,0,3,true,42458,94,94
MaxInfoGain,overview,0,4,true,39928,94,94
